spec	filterThreshold	supportedICs	percsupportedICs	tech	support
Hv3	122	33517	81.5995	all_pacBioOnly_ICs	supported
Hv3	122	188528	61.1731	all_ONTonly_ICs	supported
Hv3	122	108494	90.9155	all_pacBio+ONT_ICs	supported
Hv3	122	78061	61.6342	novel_ICs	supported
Hv3	122	7339	73.4708	novel_pacBioOnly_ICs	supported
Hv3	122	47069	53.1931	novel_ONTonly_ICs	supported
Hv3	122	23653	83.9473	novel_pacBio+ONT_ICs	supported
Hv3	122	28047	58.816	intergenic_ICs	supported
Hv3	122	1227	55.3201	intergenic_pacBioOnly_ICs	supported
Hv3	122	19527	54.2341	intergenic_ONTonly_ICs	supported
Hv3	122	7293	77.0686	intergenic_pacBio+ONT_ICs	supported
Hv3	123	330325	70.4922	all_ICs	supported
Hv3	123	33498	81.5533	all_pacBioOnly_ICs	supported
Hv3	123	188353	61.1163	all_ONTonly_ICs	supported
Hv3	123	108474	90.8987	all_pacBio+ONT_ICs	supported
Hv3	123	77975	61.5663	novel_ICs	supported
Hv3	123	7333	73.4108	novel_pacBioOnly_ICs	supported
Hv3	123	46999	53.114	novel_ONTonly_ICs	supported
Hv3	123	23643	83.9118	novel_pacBio+ONT_ICs	supported
Hv3	123	28006	58.73	intergenic_ICs	supported
Hv3	123	1225	55.2299	intergenic_pacBioOnly_ICs	supported
Hv3	123	19492	54.1369	intergenic_ONTonly_ICs	supported
Hv3	123	7289	77.0263	intergenic_pacBio+ONT_ICs	supported
Hv3	124	330115	70.4474	all_ICs	supported
Hv3	124	33480	81.5094	all_pacBioOnly_ICs	supported
Hv3	124	188185	61.0618	all_ONTonly_ICs	supported
Hv3	124	108450	90.8786	all_pacBio+ONT_ICs	supported
Hv3	124	77888	61.4976	novel_ICs	supported
Hv3	124	7330	73.3807	novel_pacBioOnly_ICs	supported
Hv3	124	46923	53.0281	novel_ONTonly_ICs	supported
Hv3	124	23635	83.8834	novel_pacBio+ONT_ICs	supported
Hv3	124	27961	58.6357	intergenic_ICs	supported
Hv3	124	1223	55.1398	intergenic_pacBioOnly_ICs	supported
Hv3	124	19454	54.0314	intergenic_ONTonly_ICs	supported
Hv3	124	7284	76.9735	intergenic_pacBio+ONT_ICs	supported
Hv3	125	329903	70.4021	all_ICs	supported
Hv3	125	33468	81.4802	all_pacBioOnly_ICs	supported
Hv3	125	188011	61.0053	all_ONTonly_ICs	supported
Hv3	125	108424	90.8568	all_pacBio+ONT_ICs	supported
Hv3	125	77804	61.4313	novel_ICs	supported
Hv3	125	7326	73.3407	novel_pacBioOnly_ICs	supported
Hv3	125	46857	52.9535	novel_ONTonly_ICs	supported
Hv3	125	23621	83.8338	novel_pacBio+ONT_ICs	supported
Hv3	125	27915	58.5392	intergenic_ICs	supported
Hv3	125	1222	55.0947	intergenic_pacBioOnly_ICs	supported
Hv3	125	19415	53.9231	intergenic_ONTonly_ICs	supported
Hv3	125	7278	76.9101	intergenic_pacBio+ONT_ICs	supported
Hv3	126	329691	70.3569	all_ICs	supported
Hv3	126	33453	81.4437	all_pacBioOnly_ICs	supported
Hv3	126	187832	60.9472	all_ONTonly_ICs	supported
Hv3	126	108406	90.8417	all_pacBio+ONT_ICs	supported
Hv3	126	77718	61.3634	novel_ICs	supported
Hv3	126	7322	73.3006	novel_pacBioOnly_ICs	supported
Hv3	126	46783	52.8699	novel_ONTonly_ICs	supported
Hv3	126	23613	83.8054	novel_pacBio+ONT_ICs	supported
Hv3	126	27874	58.4532	intergenic_ICs	supported
Hv3	126	1220	55.0045	intergenic_pacBioOnly_ICs	supported
Hv3	126	19380	53.8259	intergenic_ONTonly_ICs	supported
Hv3	126	7274	76.8678	intergenic_pacBio+ONT_ICs	supported
Hv3	127	329505	70.3172	all_ICs	supported
Hv3	127	33441	81.4145	all_pacBioOnly_ICs	supported
Hv3	127	187683	60.8989	all_ONTonly_ICs	supported
Hv3	127	108381	90.8208	all_pacBio+ONT_ICs	supported
Hv3	127	77631	61.2947	novel_ICs	supported
Hv3	127	7319	73.2706	novel_pacBioOnly_ICs	supported
Hv3	127	46714	52.7919	novel_ONTonly_ICs	supported
Hv3	127	23598	83.7521	novel_pacBio+ONT_ICs	supported
Hv3	127	27829	58.3588	intergenic_ICs	supported
Hv3	127	1219	54.9594	intergenic_pacBioOnly_ICs	supported
Hv3	127	19342	53.7203	intergenic_ONTonly_ICs	supported
Hv3	127	7268	76.8044	intergenic_pacBio+ONT_ICs	supported
Hv3	128	329279	70.269	all_ICs	supported
Hv3	128	33428	81.3828	all_pacBioOnly_ICs	supported
Hv3	128	187495	60.8379	all_ONTonly_ICs	supported
Hv3	128	108356	90.7998	all_pacBio+ONT_ICs	supported
Hv3	128	77559	61.2379	novel_ICs	supported
Hv3	128	7312	73.2005	novel_pacBioOnly_ICs	supported
Hv3	128	46659	52.7298	novel_ONTonly_ICs	supported
Hv3	128	23588	83.7166	novel_pacBio+ONT_ICs	supported
Hv3	128	27795	58.2875	intergenic_ICs	supported
Hv3	128	1218	54.9143	intergenic_pacBioOnly_ICs	supported
Hv3	128	19313	53.6398	intergenic_ONTonly_ICs	supported
Hv3	128	7264	76.7621	intergenic_pacBio+ONT_ICs	supported
Hv3	129	329067	70.2237	all_ICs	supported
Hv3	129	33413	81.3463	all_pacBioOnly_ICs	supported
